pos,corr_resp,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,Fixation.started,line1.started,line2.started,line3.started,line4.started,Fixation.stopped,probe.started,key_resp.started,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,trials_2.key_resp.keys,trials_2.key_resp.corr,trials_2.key_resp.rt,trials_2.key_resp.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
-50,x,0,0,0,x,1,1.409386999992421,None,0,0,0,0,,,,,0.03249049998703413,,0.024174099991796538,0.03249049998703413,1.0005516999808606,1.0005516999808606,1.0005516999808606,1.0005516999808606,1.0333649999811314,1.4991434999974445,1.4991434999974445,2.9270544000028167,x,1,1.409386999992421,None,,,,,001,001,2025-09-18_12h23.26.877,Motor Sequence Learning,,2025.1.1,60.1924110617832,2025-09-18 12h23.42.687764 +0530,
150,v,1,1,0,v,1,0.47346430001198314,None,0,1,1,1,,,,,2.948819699988235,,2.9273705999949016,2.948819699988235,3.933719900000142,3.933719900000142,3.933719900000142,3.933719900000142,3.9499198999837972,4.432838299981086,4.432838299981086,4.9170553000003565,v,1,0.47346430001198314,None,,,,,001,001,2025-09-18_12h23.26.877,Motor Sequence Learning,,2025.1.1,60.1924110617832,2025-09-18 12h23.42.687764 +0530,
50,c,2,2,0,c,1,0.43887569999787956,None,0,2,2,2,,,,,4.93286529998295,,4.91755819998798,4.93286529998295,5.917117899982259,5.917117899982259,5.917117899982259,5.917117899982259,5.933373699983349,6.4324013000004925,6.4324013000004925,6.884290799993323,c,1,0.43887569999787956,None,,,,,001,001,2025-09-18_12h23.26.877,Motor Sequence Learning,,2025.1.1,60.1924110617832,2025-09-18 12h23.42.687764 +0530,
-150,z,3,3,0,z,1,0.5344104999967385,None,0,3,3,3,,,,,6.898716800002148,,6.884848299989244,6.898716800002148,7.897977499989793,7.897977499989793,7.897977499989793,7.897977499989793,7.897977499989793,8.400038899999345,8.400038899999345,8.948892799991881,z,1,0.5344104999967385,None,,,,,001,001,2025-09-18_12h23.26.877,Motor Sequence Learning,,2025.1.1,60.1924110617832,2025-09-18 12h23.42.687764 +0530,
-50,x,4,0,1,x,1,0.44759170000907034,None,1,0,4,0,,,,,8.964889499999117,,8.949183699995046,8.964889499999117,9.949242000002414,9.949242000002414,9.949242000002414,9.949242000002414,9.965828099986538,10.449380000005476,10.449380000005476,10.899402199982433,x,1,0.44759170000907034,None,,,,,001,001,2025-09-18_12h23.26.877,Motor Sequence Learning,,2025.1.1,60.1924110617832,2025-09-18 12h23.42.687764 +0530,
150,v,5,1,1,v,1,0.3979815999919083,None,1,1,5,1,,,,,10.915168399980757,,10.899742499983404,10.915168399980757,11.899173299985705,11.899173299985705,11.899173299985705,11.899173299985705,11.915900599997258,12.399200699990615,12.399200699990615,12.800808100000722,v,1,0.3979815999919083,None,,,,,001,001,2025-09-18_12h23.26.877,Motor Sequence Learning,,2025.1.1,60.1924110617832,2025-09-18 12h23.42.687764 +0530,
50,c,6,2,1,c,1,0.5128954999963753,None,1,2,6,2,,,,,12.816325299994787,,12.801315399992745,12.816325299994787,13.814687899983255,13.814687899983255,13.814687899983255,13.814687899983255,13.832827000005636,14.314815699995961,14.314815699995961,14.833411700004945,c,1,0.5128954999963753,None,,,,,001,001,2025-09-18_12h23.26.877,Motor Sequence Learning,,2025.1.1,60.1924110617832,2025-09-18 12h23.42.687764 +0530,
-150,z,7,3,1,z,1,0.3622246000159066,None,1,3,7,3,,,,,14.84836129998439,,14.833913199981907,14.84836129998439,15.848322699981509,15.848322699981509,15.848322699981509,15.848322699981509,15.848322699981509,16.332334899983834,16.332334899983834,16.699827899981756,z,1,0.3622246000159066,None,,,,,001,001,2025-09-18_12h23.26.877,Motor Sequence Learning,,2025.1.1,60.1924110617832,2025-09-18 12h23.42.687764 +0530,
-50,x,8,0,2,x,1,0.4890836999984458,None,2,0,8,0,,,,,16.71575760000269,,16.700253399991198,16.71575760000269,17.71540119999554,17.71540119999554,17.71540119999554,17.71540119999554,17.71540119999554,18.2158237999829,18.2158237999829,18.716348499991,x,1,0.4890836999984458,None,,,,,001,001,2025-09-18_12h23.26.877,Motor Sequence Learning,,2025.1.1,60.1924110617832,2025-09-18 12h23.42.687764 +0530,
150,v,9,1,2,v,1,0.40396269998745993,None,2,1,9,1,,,,,18.732134799996857,,18.716787799989106,18.732134799996857,19.715620000002673,19.715620000002673,19.715620000002673,19.715620000002673,19.732648399978643,20.21533819998149,20.21533819998149,20.633192399982363,v,1,0.40396269998745993,None,,,,,001,001,2025-09-18_12h23.26.877,Motor Sequence Learning,,2025.1.1,60.1924110617832,2025-09-18 12h23.42.687764 +0530,
50,c,10,2,2,c,1,0.5890025999979116,None,2,2,10,2,,,,,20.648349800001597,,20.633646899979794,20.648349800001597,21.64779930000077,21.64779930000077,21.64779930000077,21.64779930000077,21.64779930000077,22.133175499999197,22.133175499999197,22.732244299986633,c,1,0.5890025999979116,None,,,,,001,001,2025-09-18_12h23.26.877,Motor Sequence Learning,,2025.1.1,60.1924110617832,2025-09-18 12h23.42.687764 +0530,
-150,z,11,3,2,z,1,0.3051944999897387,None,2,3,11,3,,,,,22.748504599992884,,22.73258260000148,22.748504599992884,23.73109519999707,23.73109519999707,23.73109519999707,23.73109519999707,23.748866599984467,24.24873469999875,24.24873469999875,24.566794999991544,z,1,0.3051944999897387,None,,,,,001,001,2025-09-18_12h23.26.877,Motor Sequence Learning,,2025.1.1,60.1924110617832,2025-09-18 12h23.42.687764 +0530,
-50,x,12,0,3,x,1,0.6016224999912083,None,3,0,12,0,,,,,24.582017599983374,,24.567259200004628,24.582017599983374,25.58178159999079,25.58178159999079,25.58178159999079,25.58178159999079,25.58178159999079,26.082139499980258,26.082139499980258,26.68452919999254,x,1,0.6016224999912083,None,,,,,001,001,2025-09-18_12h23.26.877,Motor Sequence Learning,,2025.1.1,60.1924110617832,2025-09-18 12h23.42.687764 +0530,
