pos,corr_resp,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,Fixation.started,line1.started,line2.started,line3.started,line4.started,Fixation.stopped,probe.started,key_resp.started,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,trials_2.key_resp.keys,trials_2.key_resp.corr,trials_2.key_resp.rt,trials_2.key_resp.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
-50,x,0,0,0,x,1,1.2602717999834567,None,0,0,0,0,,,,,0.03047609981149435,,0.01659699995070696,0.03047609981149435,1.0140461998526007,1.0140461998526007,1.0140461998526007,1.0140461998526007,1.0307505000382662,1.514754799893126,1.514754799893126,2.893372399965301,x,1,1.2602717999834567,None,,,,,005,001,2025-09-29_21h18.00.165,Motor Sequence Learning,,2025.1.1,59.934000706140935,2025-09-29 21h18.06.827883 +0530,
150,v,1,1,0,v,1,0.4247560000512749,None,0,1,1,1,,,,,2.9126104000024498,,2.893587499856949,2.9126104000024498,3.8968523999210447,3.8968523999210447,3.8968523999210447,3.8968523999210447,3.9137283000163734,4.397336399881169,4.397336399881169,4.831293300027028,v,1,0.4247560000512749,None,,,,,005,001,2025-09-29_21h18.00.165,Motor Sequence Learning,,2025.1.1,59.934000706140935,2025-09-29 21h18.06.827883 +0530,
50,c,2,2,0,c,1,0.31650329986587167,None,0,2,2,2,,,,,4.847395199816674,,4.831976299872622,4.847395199816674,5.8315121999476105,5.8315121999476105,5.8315121999476105,5.8315121999476105,5.8482158000115305,6.331617399817333,6.331617399817333,6.649146699812263,c,1,0.31650329986587167,None,,,,,005,001,2025-09-29_21h18.00.165,Motor Sequence Learning,,2025.1.1,59.934000706140935,2025-09-29 21h18.06.827883 +0530,
-150,z,3,3,0,z,1,0.3000791999511421,None,0,3,3,3,,,,,6.664786299923435,,6.649781699990854,6.664786299923435,7.663675599964336,7.663675599964336,7.663675599964336,7.663675599964336,7.663675599964336,8.16521849995479,8.16521849995479,8.466561699984595,z,1,0.3000791999511421,None,,,,,005,001,2025-09-29_21h18.00.165,Motor Sequence Learning,,2025.1.1,59.934000706140935,2025-09-29 21h18.06.827883 +0530,
-50,x,4,0,1,x,1,0.294032400008291,None,1,0,4,0,,,,,8.480963699985296,,8.467256600037217,8.480963699985296,9.480522299883887,9.480522299883887,9.480522299883887,9.480522299883887,9.480522299883887,9.980536399874836,9.980536399874836,10.281460399972275,x,1,0.294032400008291,None,,,,,005,001,2025-09-29_21h18.00.165,Motor Sequence Learning,,2025.1.1,59.934000706140935,2025-09-29 21h18.06.827883 +0530,
150,v,5,1,1,v,1,0.23152679996564984,None,1,1,5,1,,,,,10.297496799845248,,10.281974299810827,10.297496799845248,11.298000099835917,11.298000099835917,11.298000099835917,11.298000099835917,11.298000099835917,11.797105900011957,11.797105900011957,12.031525899888948,v,1,0.23152679996564984,None,,,,,005,001,2025-09-29_21h18.00.165,Motor Sequence Learning,,2025.1.1,59.934000706140935,2025-09-29 21h18.06.827883 +0530,
50,c,6,2,1,c,1,0.2867680999916047,None,1,2,6,2,,,,,12.046915699960664,,12.032061799895018,12.046915699960664,13.046284599928185,13.046284599928185,13.046284599928185,13.046284599928185,13.046284599928185,13.53093419992365,13.53093419992365,13.831609199987724,c,1,0.2867680999916047,None,,,,,005,001,2025-09-29_21h18.00.165,Motor Sequence Learning,,2025.1.1,59.934000706140935,2025-09-29 21h18.06.827883 +0530,
-150,z,7,3,1,z,1,0.3405293000396341,None,1,3,7,3,,,,,13.84709809999913,,13.83222209988162,13.84709809999913,14.847128399880603,14.847128399880603,14.847128399880603,14.847128399880603,14.847128399880603,15.330527500016615,15.330527500016615,15.681310399901122,z,1,0.3405293000396341,None,,,,,005,001,2025-09-29_21h18.00.165,Motor Sequence Learning,,2025.1.1,59.934000706140935,2025-09-29 21h18.06.827883 +0530,
-50,x,8,0,2,x,1,0.2857397999614477,None,2,0,8,0,,,,,15.696959899971262,,15.681696199811995,15.696959899971262,16.68118409998715,16.68118409998715,16.68118409998715,16.68118409998715,16.698291099863127,17.181279300013557,17.181279300013557,17.481613299809396,x,1,0.2857397999614477,None,,,,,005,001,2025-09-29_21h18.00.165,Motor Sequence Learning,,2025.1.1,59.934000706140935,2025-09-29 21h18.06.827883 +0530,
150,v,9,1,2,v,1,0.2067179000005126,None,2,1,9,1,,,,,17.49734460003674,,17.482133199926466,17.49734460003674,18.4972941998858,18.4972941998858,18.4972941998858,18.4972941998858,18.4972941998858,18.99763170001097,18.99763170001097,19.214455500012264,v,1,0.2067179000005126,None,,,,,005,001,2025-09-29_21h18.00.165,Motor Sequence Learning,,2025.1.1,59.934000706140935,2025-09-29 21h18.06.827883 +0530,
