reward_today,future_reward,delay,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,Fixation.started,text.started,key_resp.started,Fixation.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
20,23,90,0,0,0,t,1.8326107000466436,None,0,0,0,86,0.0875348998233676,,0.08024999988265336,0.0875348998233676,1.0064926999621093,1.0064926999621093,1.0899026999250054,2.8484437000006437,t,1.8326107000466436,None,001,001,2025-11-04_09h58.49.830,Delay Discounting,,2025.1.1,59.77997380932413,2025-11-04 09h58.56.424153 +0530,
15,16,30,1,1,0,t,0.43135449988767505,None,0,1,1,14,2.871701099909842,,2.857110899873078,2.871701099909842,3.856574699981138,3.856574699981138,3.873035999946296,4.2911525999661535,t,0.43135449988767505,None,001,001,2025-11-04_09h58.49.830,Delay Discounting,,2025.1.1,59.77997380932413,2025-11-04 09h58.56.424153 +0530,
49,54,60,2,2,0,t,0.48236589995212853,None,0,2,2,45,4.306082299910486,,4.297464799834415,4.306082299910486,5.306503699859604,5.306503699859604,5.306503699859604,5.790207199985161,t,0.48236589995212853,None,001,001,2025-11-04_09h58.49.830,Delay Discounting,,2025.1.1,59.77997380932413,2025-11-04 09h58.56.424153 +0530,
27,28,21,3,3,0,l,0.49742019991390407,None,0,3,3,23,5.806282499805093,,5.79762229998596,5.806282499805093,6.7903246998321265,6.7903246998321265,6.807269199984148,7.289615499787033,l,0.49742019991390407,None,001,001,2025-11-04_09h58.49.830,Delay Discounting,,2025.1.1,59.77997380932413,2025-11-04 09h58.56.424153 +0530,
11,12,21,4,4,0,l,0.46465329988859594,None,0,4,4,3,7.306559199932963,,7.293865399900824,7.306559199932963,8.290544899879023,8.290544899879023,8.305956600001082,8.756424399791285,l,0.46465329988859594,None,001,001,2025-11-04_09h58.49.830,Delay Discounting,,2025.1.1,59.77997380932413,2025-11-04 09h58.56.424153 +0530,
49,62,180,5,5,0,t,0.5156457999255508,None,0,5,5,47,8.772748499875888,,8.76094159996137,8.772748499875888,9.757106499979272,9.757106499979272,9.773216899950057,10.274196999846026,t,0.5156457999255508,None,001,001,2025-11-04_09h58.49.830,Delay Discounting,,2025.1.1,59.77997380932413,2025-11-04 09h58.56.424153 +0530,
40,80,730,6,6,0,t,0.48147540003992617,None,0,6,6,39,10.289037399925292,,10.28015899984166,10.289037399925292,11.273869999917224,11.273869999917224,11.290416599949822,11.757262699771672,t,0.48147540003992617,None,001,001,2025-11-04_09h58.49.830,Delay Discounting,,2025.1.1,59.77997380932413,2025-11-04 09h58.56.424153 +0530,
27,41,365,7,7,0,t,0.43312359997071326,None,0,7,7,28,11.772752199787647,,11.761925999773666,11.772752199787647,12.756291899830103,12.756291899830103,12.77269469993189,13.190882399911061,t,0.43312359997071326,None,001,001,2025-11-04_09h58.49.830,Delay Discounting,,2025.1.1,59.77997380932413,2025-11-04 09h58.56.424153 +0530,
15,19,180,8,8,0,t,0.477855599950999,None,0,8,8,17,13.206250199815258,,13.195904799969867,13.206250199815258,14.206063299905509,14.206063299905509,14.206063299905509,14.689585799816996,t,0.477855599950999,None,001,001,2025-11-04_09h58.49.830,Delay Discounting,,2025.1.1,59.77997380932413,2025-11-04 09h58.56.424153 +0530,
5,7,180,9,9,0,t,0.5908588001038879,None,0,9,9,77,14.705430299974978,,14.69397579994984,14.705430299974978,15.690571899991482,15.690571899991482,15.706978099886328,16.29005809989758,t,0.5908588001038879,None,001,001,2025-11-04_09h58.49.830,Delay Discounting,,2025.1.1,59.77997380932413,2025-11-04 09h58.56.424153 +0530,
