reward_today,future_reward,delay,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,Fixation.started,text.started,key_resp.started,Fixation.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
49,51,21,0,0,0,l,9.07644039997831,None,0,0,0,43,0.09374529984779656,,0.07688259985297918,0.09374529984779656,1.0114042998757213,1.0114042998757213,1.0962653998285532,10.103141099913046,l,9.07644039997831,None,002,001,2025-11-04_10h05.02.700,Delay Discounting,,2025.1.1,60.31963371516028,2025-11-04 10h05.08.840344 +0530,
11,12,21,1,1,0,t,0.9215512000955641,None,0,1,1,3,10.128072299994528,,10.10747869987972,10.128072299994528,11.111671399790794,11.111671399790794,11.128472599899396,12.04588279989548,t,0.9215512000955641,None,002,001,2025-11-04_10h05.02.700,Delay Discounting,,2025.1.1,60.31963371516028,2025-11-04 10h05.08.840344 +0530,
11,22,730,2,2,0,l,0.6215888999868184,None,0,2,2,9,12.061645299894735,,12.053281500004232,12.061645299894735,13.046199999982491,13.046199999982491,13.062884799903259,13.680663699982688,l,0.6215888999868184,None,002,001,2025-11-04_10h05.02.700,Delay Discounting,,2025.1.1,60.31963371516028,2025-11-04 10h05.08.840344 +0530,
78,88,90,3,3,0,l,0.42914589983411133,None,0,3,3,66,13.694877999834716,,13.688831999897957,13.694877999834716,14.696565999882296,14.696565999882296,14.696565999882296,15.131489699939266,l,0.42914589983411133,None,002,001,2025-11-04_10h05.02.700,Delay Discounting,,2025.1.1,60.31963371516028,2025-11-04 10h05.08.840344 +0530,
67,68,7,4,4,0,l,0.27661980013363063,None,0,4,4,51,15.16180989984423,,15.139039899921045,15.16180989984423,16.145273699890822,16.145273699890822,16.162313799839467,16.42981249978766,l,0.27661980013363063,None,002,001,2025-11-04_10h05.02.700,Delay Discounting,,2025.1.1,60.31963371516028,2025-11-04 10h05.08.840344 +0530,
27,28,21,5,5,0,t,0.510483100079,None,0,5,5,23,16.444831799948588,,16.434366500005126,16.444831799948588,17.444719199789688,17.444719199789688,17.444719199789688,17.964409099891782,t,0.510483100079,None,002,001,2025-11-04_10h05.02.700,Delay Discounting,,2025.1.1,60.31963371516028,2025-11-04 10h05.08.840344 +0530,
67,76,90,6,6,0,t,1.9078073999844491,None,0,6,6,56,17.977996499976143,,17.970989199820906,17.977996499976143,18.978887599892914,18.978887599892914,18.978887599892914,20.896467099897563,t,1.9078073999844491,None,002,001,2025-11-04_10h05.02.700,Delay Discounting,,2025.1.1,60.31963371516028,2025-11-04 10h05.08.840344 +0530,
35,36,7,7,7,0,t,0.79662000015378,None,0,7,7,91,20.91231769998558,,20.902388099813834,20.91231769998558,21.896053799893707,21.896053799893707,21.91239669988863,22.696184099884704,t,0.79662000015378,None,002,001,2025-11-04_10h05.02.700,Delay Discounting,,2025.1.1,60.31963371516028,2025-11-04 10h05.08.840344 +0530,
40,60,365,8,8,0,l,1.076450000051409,None,0,8,8,38,22.711385099915788,,22.700556399999186,22.711385099915788,23.696457999991253,23.696457999991253,23.71320589981042,24.779558799928054,l,1.076450000051409,None,002,001,2025-11-04_10h05.02.700,Delay Discounting,,2025.1.1,60.31963371516028,2025-11-04 10h05.08.840344 +0530,
40,44,60,9,9,0,l,0.8483410000335425,None,0,9,9,35,24.794734800001606,,24.78490599989891,24.794734800001606,25.779056899948046,25.779056899948046,25.79606319987215,26.629602700006217,l,0.8483410000335425,None,002,001,2025-11-04_10h05.02.700,Delay Discounting,,2025.1.1,60.31963371516028,2025-11-04 10h05.08.840344 +0530,
35,36,1,10,10,0,t,0.62167640007101,None,0,10,10,90,26.64510009996593,,26.6357096999418,26.64510009996593,27.629254599800333,27.629254599800333,27.64599599991925,28.2630570998881,t,0.62167640007101,None,002,001,2025-11-04_10h05.02.700,Delay Discounting,,2025.1.1,60.31963371516028,2025-11-04 10h05.08.840344 +0530,
20,30,365,11,11,0,t,1.0717784999869764,None,0,11,11,88,28.278720299946144,,28.267322199884802,28.278720299946144,29.26196809997782,29.26196809997782,29.279005999909714,30.34643489983864,t,1.0717784999869764,None,002,001,2025-11-04_10h05.02.700,Delay Discounting,,2025.1.1,60.31963371516028,2025-11-04 10h05.08.840344 +0530,
20,21,7,12,12,0,l,1.2916814999189228,None,0,12,12,81,30.361296699848026,,30.350128899794072,30.361296699848026,31.3455012999475,31.3455012999475,31.362133899936453,32.646700999932364,l,1.2916814999189228,None,002,001,2025-11-04_10h05.02.700,Delay Discounting,,2025.1.1,60.31963371516028,2025-11-04 10h05.08.840344 +0530,
20,40,730,13,13,0,t,1.7524824999272823,None,0,13,13,89,32.66125519992784,,32.651984999887645,32.66125519992784,33.66261539980769,33.66261539980769,33.66261539980769,35.42950979992747,t,1.7524824999272823,None,002,001,2025-11-04_10h05.02.700,Delay Discounting,,2025.1.1,60.31963371516028,2025-11-04 10h05.08.840344 +0530,
78,79,1,14,14,0,t,1.0449848000425845,None,0,14,14,60,35.44490439980291,,35.43392099998891,35.44490439980291,36.444585599936545,36.444585599936545,36.444585599936545,37.49590489990078,t,1.0449848000425845,None,002,001,2025-11-04_10h05.02.700,Delay Discounting,,2025.1.1,60.31963371516028,2025-11-04 10h05.08.840344 +0530,
78,98,180,15,15,0,l,0.9447116998489946,None,0,15,15,67,37.51203389978036,,37.500408799853176,37.51203389978036,38.49503819993697,38.49503819993697,38.51104409992695,39.445498999906704,l,0.9447116998489946,None,002,001,2025-11-04_10h05.02.700,Delay Discounting,,2025.1.1,60.31963371516028,2025-11-04 10h05.08.840344 +0530,
49,50,1,16,16,0,t,1.3113901999313384,None,0,16,16,40,39.46102499985136,,39.44979149987921,39.46102499985136,40.446348699973896,40.446348699973896,40.46275269985199,41.76328089996241,t,1.3113901999313384,None,002,001,2025-11-04_10h05.02.700,Delay Discounting,,2025.1.1,60.31963371516028,2025-11-04 10h05.08.840344 +0530,
5,6,90,17,17,0,l,1.3139392000157386,None,0,17,17,76,41.777956099947914,,41.76938209985383,41.777956099947914,42.778485499788076,42.778485499788076,42.778485499788076,44.09638819983229,l,1.3139392000157386,None,002,001,2025-11-04_10h05.02.700,Delay Discounting,,2025.1.1,60.31963371516028,2025-11-04 10h05.08.840344 +0530,
40,80,730,18,18,0,l,1.2404628000222147,None,0,18,18,39,44.11173969996162,,44.101617799839005,44.11173969996162,45.09530859999359,45.09530859999359,45.112099499907345,46.34611409995705,l,1.2404628000222147,None,002,001,2025-11-04_10h05.02.700,Delay Discounting,,2025.1.1,60.31963371516028,2025-11-04 10h05.08.840344 +0530,
11,12,30,19,19,0,l,1.1896526999771595,None,0,19,19,4,46.36120699997991,,46.3512514999602,46.36120699997991,47.34556679986417,47.34556679986417,47.36190349981189,48.546413799980655,l,1.1896526999771595,None,002,001,2025-11-04_10h05.02.700,Delay Discounting,,2025.1.1,60.31963371516028,2025-11-04 10h05.08.840344 +0530,
49,56,90,20,20,0,t,1.4740445998031646,None,0,20,20,46,48.561469399835914,,48.55140100000426,48.561469399835914,49.56285579991527,49.56285579991527,49.56285579991527,51.0460376997944,t,1.4740445998031646,None,002,001,2025-11-04_10h05.02.700,Delay Discounting,,2025.1.1,60.31963371516028,2025-11-04 10h05.08.840344 +0530,
20,21,1,21,21,0,l,0.9154876999091357,None,0,21,21,80,51.06113429996185,,51.05103929992765,51.06113429996185,52.062727299984545,52.062727299984545,52.062727299984545,52.980123499874026,l,0.9154876999091357,None,002,001,2025-11-04_10h05.02.700,Delay Discounting,,2025.1.1,60.31963371516028,2025-11-04 10h05.08.840344 +0530,
49,50,7,22,22,0,t,1.3912122999317944,None,0,22,22,41,52.99490789999254,,52.98446589987725,52.99490789999254,53.9948196997866,53.9948196997866,53.9948196997866,55.395879099844024,t,1.3912122999317944,None,002,001,2025-11-04_10h05.02.700,Delay Discounting,,2025.1.1,60.31963371516028,2025-11-04 10h05.08.840344 +0530,
