thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,num_distr,trial.started,Fixation.started,Target.started,mouse.started,trial.stopped,trials.mouse.x,trials.mouse.y,trials.mouse.leftButton,trials.mouse.midButton,trials.mouse.rightButton,trials.mouse.time,trials.mouse.clicked_name,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
0,0,0,[np.float64(0.47)],[np.float64(-0.44666666666666666)],[1],[0],[0],[2.9854455000022426],['Target'],0,0,0,0,0.04725460000918247,,5,0.03193470000405796,0.04725460000918247,0.04725460000918247,0.031960300024366006,3.0174666000239085,[np.float64(0.47)],[np.float64(-0.44666666666666666)],[1],[0],[0],[2.9854455000022426],['Target'],002,001,2025-09-18_10h36.04.362,Visual Search,,2025.1.1,60.09810415412066,2025-09-18 10h36.09.008160 +0530,
1,0,1,[np.float64(0.195)],[np.float64(0.4216666666666667)],[1],[0],[0],[4.397555200004717],['Target'],1,0,1,0,3.0479243000154383,,10,3.036498900008155,3.0479243000154383,3.0479243000154383,0.018844900012481958,7.434162400022615,[np.float64(0.195)],[np.float64(0.4216666666666667)],[1],[0],[0],[4.397555200004717],['Target'],002,001,2025-09-18_10h36.04.362,Visual Search,,2025.1.1,60.09810415412066,2025-09-18 10h36.09.008160 +0530,
2,0,2,[np.float64(0.42833333333333334)],[np.float64(-0.2966666666666667)],[1],[0],[0],[1.4461611999722663],['Target'],2,0,2,0,7.463928400014993,,10,7.452450200013118,7.463928400014993,7.463928400014993,0.018025800003670156,8.898678700003074,[np.float64(0.42833333333333334)],[np.float64(-0.2966666666666667)],[1],[0],[0],[1.4461611999722663],['Target'],002,001,2025-09-18_10h36.04.362,Visual Search,,2025.1.1,60.09810415412066,2025-09-18 10h36.09.008160 +0530,
3,0,3,[np.float64(0.44)],[np.float64(0.03666666666666667)],[1],[0],[0],[1.1585346999927424],['Target'],3,0,3,0,8.930808700009948,,5,8.909119400021154,8.930808700009948,8.930808700009948,0.010330000019166619,10.067760900012217,[np.float64(0.44)],[np.float64(0.03666666666666667)],[1],[0],[0],[1.1585346999927424],['Target'],002,001,2025-09-18_10h36.04.362,Visual Search,,2025.1.1,60.09810415412066,2025-09-18 10h36.09.008160 +0530,
4,0,4,[np.float64(0.35333333333333333)],[np.float64(0.275)],[1],[0],[0],[1.386723700008588],['Target'],4,0,4,0,10.098038900003303,,5,10.081123500014655,10.098038900003303,10.098038900003303,0.013191799982450902,11.467950899997959,[np.float64(0.35333333333333333)],[np.float64(0.275)],[1],[0],[0],[1.386723700008588],['Target'],002,001,2025-09-18_10h36.04.362,Visual Search,,2025.1.1,60.09810415412066,2025-09-18 10h36.09.008160 +0530,
5,0,5,[np.float64(0.43666666666666665)],[np.float64(0.32666666666666666)],[1],[0],[0],[1.1993018999928609],['Target'],5,0,5,0,11.4972306000127,,10,11.485438000003342,11.4972306000127,11.4972306000127,0.017273699981160462,12.684835899999598,[np.float64(0.43666666666666665)],[np.float64(0.32666666666666666)],[1],[0],[0],[1.1993018999928609],['Target'],002,001,2025-09-18_10h36.04.362,Visual Search,,2025.1.1,60.09810415412066,2025-09-18 10h36.09.008160 +0530,
6,0,6,[np.float64(0.03166666666666667)],[np.float64(-0.15666666666666668)],[1],[0],[0],[2.4723908999876585],['Target'],6,0,6,0,12.714792000013404,,5,12.695280200015986,12.714792000013404,12.714792000013404,0.010260600014589727,15.167812900006538,[np.float64(0.03166666666666667)],[np.float64(-0.15666666666666668)],[1],[0],[0],[2.4723908999876585],['Target'],002,001,2025-09-18_10h36.04.362,Visual Search,,2025.1.1,60.09810415412066,2025-09-18 10h36.09.008160 +0530,
7,0,7,[np.float64(0.06333333333333334)],[np.float64(-0.44666666666666666)],[1],[0],[0],[2.6958153000159655],['Target'],7,0,7,0,15.197760400013067,,10,15.187256900011562,15.197760400013067,15.197760400013067,0.019209599995519966,17.88316300002043,[np.float64(0.06333333333333334)],[np.float64(-0.44666666666666666)],[1],[0],[0],[2.6958153000159655],['Target'],002,001,2025-09-18_10h36.04.362,Visual Search,,2025.1.1,60.09810415412066,2025-09-18 10h36.09.008160 +0530,
8,0,8,[np.float64(-0.005)],[np.float64(0.31333333333333335)],[1],[0],[0],[1.2816487000091001],['Target'],8,0,8,0,17.913978199998382,,10,17.901535200013313,17.913978199998382,17.913978199998382,0.01818250000360422,19.183263300015824,[np.float64(-0.005)],[np.float64(0.31333333333333335)],[1],[0],[0],[1.2816487000091001],['Target'],002,001,2025-09-18_10h36.04.362,Visual Search,,2025.1.1,60.09810415412066,2025-09-18 10h36.09.008160 +0530,
9,0,9,[np.float64(0.056666666666666664)],[np.float64(0.10166666666666667)],[1],[0],[0],[0.8421996999823023],['Target'],9,0,9,0,19.214103000005707,,5,19.192547700018622,19.214103000005707,19.214103000005707,0.009116900007938966,20.034900099999504,[np.float64(0.056666666666666664)],[np.float64(0.10166666666666667)],[1],[0],[0],[0.8421996999823023],['Target'],002,001,2025-09-18_10h36.04.362,Visual Search,,2025.1.1,60.09810415412066,2025-09-18 10h36.09.008160 +0530,
