thisN,thisTrialN,thisRepN,resp.keys,resp.rt,resp.duration,key_resp.keys,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,thisRow.t,notes,Instruction.started,instruction.started,instr_resp.started,Instruction.stopped,instr_resp.keys,instr_resp.rt,instr_resp.duration,visual_2.started,Fixation_1.started,Fixation_1.stopped,polygon_2.started,resp.started,visual_2.stopped,trials.resp.keys,trials.resp.rt,trials.resp.duration,Audio.started,Fixation_2.started,Fixation_2.stopped,sound_1.started,key_resp.started,sound_1.stopped,Audio.stopped,trials_3.key_resp.keys,trials_3.key_resp.rt,trials_3.key_resp.duration,trials_2.resp.keys,trials_2.resp.rt,trials_2.resp.duration,trials_4.key_resp.keys,trials_4.key_resp.rt,trials_4.key_resp.duration,Thank_you.started,text.started,text.stopped,Thank_you.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart
8,0,8,,,,space,0.2323392,None,,,,,,,,,,,,,8,0,8,0,121.8636574,,,,,,,,,,,,,,,,,,121.8450846,121.8636574,123.3665693,123.3487269,123.3482822,,123.5825073,,,,,,,space,0.2323392,None,,,,,2,1,2025-11-08_17h48.22.332,Cross-Modal Reaction Time Task,,2025.01.01,60.02080327,2025-11-08 17h48.28.824875 +0530
9,0,9,,,,space,0.2198278,None,,,,,,,,,,,,,9,0,9,0,123.6133161,,,,,,,,,,,,,,,,,,123.5989394,123.6133161,125.1150171,125.098532,125.0980209,,125.332362,,,,,,,space,0.2198278,None,,,,,2,1,2025-11-08_17h48.22.332,Cross-Modal Reaction Time Task,,2025.01.01,60.02080327,2025-11-08 17h48.28.824875 +0530
10,0,10,,,,space,0.2286256,None,,,,,,,,,,,,,10,0,10,0,125.3633375,,,,,,,,,,,,,,,,,,125.3485397,125.3633375,126.8641546,126.8482124,126.8481307,,127.0821397,,,,,,,space,0.2286256,None,,,,,2,1,2025-11-08_17h48.22.332,Cross-Modal Reaction Time Task,,2025.01.01,60.02080327,2025-11-08 17h48.28.824875 +0530
11,0,11,,,,space,0.2150036,None,,,,,,,,,,,,,11,0,11,0,127.1140371,,,,,,,,,,,,,,,,,,127.0949343,127.1140371,128.6148421,128.5986325,128.598509,,128.8153891,,,,,,,space,0.2150036,None,,,,,2,1,2025-11-08_17h48.22.332,Cross-Modal Reaction Time Task,,2025.01.01,60.02080327,2025-11-08 17h48.28.824875 +0530
12,0,12,,,,space,0.2338059,None,,,,,,,,,,,,,12,0,12,0,128.8468411,,,,,,,,,,,,,,,,,,128.8358956,128.8468411,130.3479441,130.3489155,130.3479441,,130.5828915,,,,,,,space,0.2338059,None,,,,,2,1,2025-11-08_17h48.22.332,Cross-Modal Reaction Time Task,,2025.01.01,60.02080327,2025-11-08 17h48.28.824875 +0530
13,0,13,,,,space,0.2418408,None,,,,,,,,,,,,,13,0,13,0,130.6140624,,,,,,,,,,,,,,,,,,130.5969867,130.6140624,132.1153766,132.099133,132.0991969,,132.3488034,,,,,,,space,0.2418408,None,,,,,2,1,2025-11-08_17h48.22.332,Cross-Modal Reaction Time Task,,2025.01.01,60.02080327,2025-11-08 17h48.28.824875 +0530
14,0,14,,,,space,0.2412262,None,,,,,,,,,,,,,14,0,14,0,132.3803659,,,,,,,,,,,,,,,,,,132.3692342,132.3803659,133.8816873,133.8828304,133.8816873,,134.1322115,,,,,,,space,0.2412262,None,,,,,2,1,2025-11-08_17h48.22.332,Cross-Modal Reaction Time Task,,2025.01.01,60.02080327,2025-11-08 17h48.28.824875 +0530
15,0,15,,,,space,0.2543461,None,,,,,,,,,,,,,15,0,15,0,134.1630563,,,,,,,,,,,,,,,,,,134.1493657,134.1630563,135.6649028,135.648097,135.6476623,,135.9154434,,,,,,,space,0.2543461,None,,,,,2,1,2025-11-08_17h48.22.332,Cross-Modal Reaction Time Task,,2025.01.01,60.02080327,2025-11-08 17h48.28.824875 +0530
16,0,16,,,,space,0.2034456,None,,,,,,,,,,,,,16,0,16,0,135.9465954,,,,,,,,,,,,,,,,,,135.9340789,135.9465954,137.4468841,137.4473039,137.4468841,,137.6669059,,,,,,,space,0.2034456,None,,,,,2,1,2025-11-08_17h48.22.332,Cross-Modal Reaction Time Task,,2025.01.01,60.02080327,2025-11-08 17h48.28.824875 +0530
17,0,17,,,,space,0.2403637,None,,,,,,,,,,,,,17,0,17,0,137.6966527,,,,,,,,,,,,,,,,,,137.6865989,137.6966527,139.1985988,139.1976354,139.1985988,,139.4484588,,,,,,,space,0.2403637,None,,,,,2,1,2025-11-08_17h48.22.332,Cross-Modal Reaction Time Task,,2025.01.01,60.02080327,2025-11-08 17h48.28.824875 +0530
18,0,18,,,,space,0.2386718,None,,,,,,,,,,,,,18,0,18,0,139.4793857,,,,,,,,,,,,,,,,,,139.4684523,139.4793857,140.9813456,140.9812783,140.9813456,,141.2321821,,,,,,,space,0.2386718,None,,,,,2,1,2025-11-08_17h48.22.332,Cross-Modal Reaction Time Task,,2025.01.01,60.02080327,2025-11-08 17h48.28.824875 +0530
19,0,19,,,,space,0.0512801,None,,,,,,,,,,,,,19,0,19,0,141.263711,,,,,,,,,,,,,,,,,,141.2485354,141.263711,142.7645244,142.7484046,142.7480507,,142.815697,,,,,,,space,0.0512801,None,,,,,2,1,2025-11-08_17h48.22.332,Cross-Modal Reaction Time Task,,2025.01.01,60.02080327,2025-11-08 17h48.28.824875 +0530
20,0,20,,,,space,0.1952046,None,,,,,,,,,,,,,20,0,20,0,142.8469308,,,,,,,,,,,,,,,,,,142.8350974,142.8469308,144.3486907,144.3480886,144.3486907,,144.5487211,,,,,,,space,0.1952046,None,,,,,2,1,2025-11-08_17h48.22.332,Cross-Modal Reaction Time Task,,2025.01.01,60.02080327,2025-11-08 17h48.28.824875 +0530
21,0,21,,,,space,0.0851518,None,,,,,,,,,,,,,21,0,21,0,144.580204,,,,,,,,,,,,,,,,,,144.5687529,144.580204,146.0830228,146.0824676,146.0830228,,146.1834899,,,,,,,space,0.0851518,None,,,,,2,1,2025-11-08_17h48.22.332,Cross-Modal Reaction Time Task,,2025.01.01,60.02080327,2025-11-08 17h48.28.824875 +0530
22,0,22,,,,space,0.2086853,None,,,,,,,,,,,,,22,0,22,0,146.212854,,,,,,,,,,,,,,,,,,146.2052064,146.212854,147.7149798,147.7141855,147.7149798,,147.9307408,,,,,,,space,0.2086853,None,,,,,2,1,2025-11-08_17h48.22.332,Cross-Modal Reaction Time Task,,2025.01.01,60.02080327,2025-11-08 17h48.28.824875 +0530
23,0,23,,,,space,0.2051251,None,,,,,,,,,,,,,23,0,23,0,147.9627899,,,,,,,,,,,,,,,,,,147.9477959,147.9627899,149.4645191,149.4479324,149.4481759,,149.6646871,,,,,,,space,0.2051251,None,,,,,2,1,2025-11-08_17h48.22.332,Cross-Modal Reaction Time Task,,2025.01.01,60.02080327,2025-11-08 17h48.28.824875 +0530
24,0,24,,,,space,0.1603619,None,,,,,,,,,,,,,24,0,24,0,149.6962801,,,,,,,,,,,,,,,,,,149.6775561,149.6962801,151.198543,151.1819302,151.1814746,,151.4490708,,,,,,,space,0.2603619,None,,,,,2,1,2025-11-08_17h48.22.332,Cross-Modal Reaction Time Task,,2025.01.01,60.02080327,2025-11-08 17h48.28.824875 +0530
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,151.465933,151.4803029,154.482092,154.4654088,2,1,2025-11-08_17h48.22.332,Cross-Modal Reaction Time Task,,2025.01.01,60.02080327,2025-11-08 17h48.28.824875 +0530
