reward_today,future_reward,delay,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,Fixation.started,text.started,key_resp.started,Fixation.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
5,6,7,0,0,0,t,5.462793600047007,None,0,0,0,71,0.09924039989709854,,0.09343759994953871,0.09924039989709854,1.0006943999323994,1.0006943999323994,1.101483599981293,6.477359299780801,t,5.462793600047007,None,004,001,2025-11-04_21h01.52.782,Delay Discounting,,2025.1.1,59.53844610622619,2025-11-04 21h02.12.030364 +0530,
20,22,60,1,1,0,t,1.6144012999720871,None,0,1,1,85,6.500342399813235,,6.487268299795687,6.500342399813235,7.485444699879736,7.485444699879736,7.502581199863926,9.103497799951583,t,1.6144012999720871,None,004,001,2025-11-04_21h01.52.782,Delay Discounting,,2025.1.1,59.53844610622619,2025-11-04 21h02.12.030364 +0530,
27,28,1,2,2,0,t,1.7662327999714762,None,0,2,2,20,9.118403299944475,,9.110552700003609,9.118403299944475,10.101455499883741,10.101455499883741,10.118449199944735,11.88440589979291,t,1.7662327999714762,None,004,001,2025-11-04_21h01.52.782,Delay Discounting,,2025.1.1,59.53844610622619,2025-11-04 21h02.12.030364 +0530,
20,21,7,3,3,0,l,2.318910100031644,None,0,3,3,81,11.900416999822482,,11.887630499899387,11.900416999822482,12.884783199988306,12.884783199988306,12.901559099787846,15.219933899817988,l,2.318910100031644,None,004,001,2025-11-04_21h01.52.782,Delay Discounting,,2025.1.1,59.53844610622619,2025-11-04 21h02.12.030364 +0530,
27,28,21,4,4,0,t,2.4939647000283003,None,0,4,4,23,15.235693799797446,,15.225623999955133,15.235693799797446,16.23456749995239,16.23456749995239,16.23456749995239,18.735257899854332,t,2.4939647000283003,None,004,001,2025-11-04_21h01.52.782,Delay Discounting,,2025.1.1,59.53844610622619,2025-11-04 21h02.12.030364 +0530,
78,117,365,5,5,0,l,1.773058399790898,None,0,5,5,68,18.766774899791926,,18.74419319978915,18.766774899791926,19.734923499869183,19.734923499869183,19.768224299885333,21.51907099992968,l,1.773058399790898,None,004,001,2025-11-04_21h01.52.782,Delay Discounting,,2025.1.1,59.53844610622619,2025-11-04 21h02.12.030364 +0530,
67,76,90,6,6,0,l,2.5648669998627156,None,0,6,6,56,21.53378349984996,,21.52562029985711,21.53378349984996,22.51841349992901,22.51841349992901,22.53477319981903,25.0848520998843,l,2.5648669998627156,None,004,001,2025-11-04_21h01.52.782,Delay Discounting,,2025.1.1,59.53844610622619,2025-11-04 21h02.12.030364 +0530,
35,37,21,7,7,0,t,1.8316901999060065,None,0,7,7,93,25.100164499832317,,25.08939479989931,25.100164499832317,26.084856699919328,26.084856699919328,26.10187749983743,27.91998319979757,t,1.8316901999060065,None,004,001,2025-11-04_21h01.52.782,Delay Discounting,,2025.1.1,59.53844610622619,2025-11-04 21h02.12.030364 +0530,
15,16,30,8,8,0,t,2.599443099927157,None,0,8,8,14,27.934675899799913,,27.925599299836904,27.934675899799913,28.934956199955195,28.934956199955195,28.934956199955195,31.535967299947515,t,2.599443099927157,None,004,001,2025-11-04_21h01.52.782,Delay Discounting,,2025.1.1,59.53844610622619,2025-11-04 21h02.12.030364 +0530,
11,12,30,9,9,0,t,1.724344100104645,None,0,9,9,4,31.551393099827692,,31.54199709999375,31.551393099827692,32.53562999982387,32.53562999982387,32.55220609996468,34.26883689989336,t,1.724344100104645,None,004,001,2025-11-04_21h01.52.782,Delay Discounting,,2025.1.1,59.53844610622619,2025-11-04 21h02.12.030364 +0530,
67,69,14,10,10,0,l,3.4331051998306066,None,0,10,10,52,34.28435879992321,,34.27679439983331,34.28435879992321,35.26799530000426,35.26799530000426,35.2846402998548,38.702863099984825,l,3.4331051998306066,None,004,001,2025-11-04_21h01.52.782,Delay Discounting,,2025.1.1,59.53844610622619,2025-11-04 21h02.12.030364 +0530,
27,41,365,11,11,0,l,4.374138199957088,None,0,11,11,28,38.71764299995266,,38.707860899856314,38.71764299995266,39.71834069979377,39.71834069979377,39.71834069979377,44.10339099983685,l,4.374138199957088,None,004,001,2025-11-04_21h01.52.782,Delay Discounting,,2025.1.1,59.53844610622619,2025-11-04 21h02.12.030364 +0530,
5,6,60,12,12,0,t,2.026659900089726,None,0,12,12,75,44.11768259992823,,44.10956489993259,44.11768259992823,45.1177951998543,45.1177951998543,45.1177951998543,47.152080399915576,t,2.026659900089726,None,004,001,2025-11-04_21h01.52.782,Delay Discounting,,2025.1.1,59.53844610622619,2025-11-04 21h02.12.030364 +0530,
11,22,730,13,13,0,t,2.8374759999569505,None,0,13,13,9,47.16759179998189,,47.15765179996379,47.16759179998189,48.15116209979169,48.15116209979169,48.16842060000636,51.00201849988662,t,2.8374759999569505,None,004,001,2025-11-04_21h01.52.782,Delay Discounting,,2025.1.1,59.53844610622619,2025-11-04 21h02.12.030364 +0530,
11,12,60,14,14,0,t,1.022332299966365,None,0,14,14,5,51.017217099899426,,51.00672780000605,51.017217099899426,52.01732909982093,52.01732909982093,52.01732909982093,53.05169549980201,t,1.022332299966365,None,004,001,2025-11-04_21h01.52.782,Delay Discounting,,2025.1.1,59.53844610622619,2025-11-04 21h02.12.030364 +0530,
15,16,14,15,15,0,t,1.0970548999030143,None,0,15,15,12,53.06718219979666,,53.055727700004354,53.06718219979666,54.051133199827746,54.051133199827746,54.06771949981339,55.1508994998876,t,1.0970548999030143,None,004,001,2025-11-04_21h01.52.782,Delay Discounting,,2025.1.1,59.53844610622619,2025-11-04 21h02.12.030364 +0530,
35,38,60,16,16,0,t,1.9379732001107186,None,0,16,16,95,55.16690399986692,,55.154151199851185,55.16690399986692,56.15138669987209,56.15138669987209,56.16831699991599,58.1013026998844,t,1.9379732001107186,None,004,001,2025-11-04_21h01.52.782,Delay Discounting,,2025.1.1,59.53844610622619,2025-11-04 21h02.12.030364 +0530,
35,40,90,17,17,0,l,1.8830102998763323,None,0,17,17,96,58.11653619981371,,58.10537669993937,58.11653619981371,59.10034319991246,59.10034319991246,59.11755809979513,60.98530939989723,l,1.8830102998763323,None,004,001,2025-11-04_21h01.52.782,Delay Discounting,,2025.1.1,59.53844610622619,2025-11-04 21h02.12.030364 +0530,
78,85,60,18,18,0,l,1.0717453001998365,None,0,18,18,65,61.00008129980415,,60.990881299832836,61.00008129980415,62.00125169986859,62.00125169986859,62.00125169986859,63.084796799812466,l,1.0717453001998365,None,004,001,2025-11-04_21h01.52.782,Delay Discounting,,2025.1.1,59.53844610622619,2025-11-04 21h02.12.030364 +0530,
15,16,21,19,19,0,t,2.1574937999248505,None,0,19,19,13,63.100000299979,,63.089290499920025,63.100000299979,64.08488799980842,64.08488799980842,64.10124139999971,66.2526324999053,t,2.1574937999248505,None,004,001,2025-11-04_21h01.52.782,Delay Discounting,,2025.1.1,59.53844610622619,2025-11-04 21h02.12.030364 +0530,
27,30,60,20,20,0,l,4.153897000011057,None,0,20,20,25,66.28303629998118,,66.26060089981183,66.28303629998118,67.25141189992428,67.25141189992428,67.28396519995295,71.41788599989377,l,4.153897000011057,None,004,001,2025-11-04_21h01.52.782,Delay Discounting,,2025.1.1,59.53844610622619,2025-11-04 21h02.12.030364 +0530,
