thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,num_distr,trial.started,Fixation.started,Target.started,mouse.started,trial.stopped,trials.mouse.x,trials.mouse.y,trials.mouse.leftButton,trials.mouse.midButton,trials.mouse.rightButton,trials.mouse.time,trials.mouse.clicked_name,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
0,0,0,[np.float64(-0.44333333333333336)],[np.float64(0.30833333333333335)],[1],[0],[0],[1.9518479999969713],['Target'],0,0,0,0,0.04020489999675192,,10,0.02717110002413392,0.04020489999675192,0.04020489999675192,0.02718720000120811,1.979132100008428,[np.float64(-0.44333333333333336)],[np.float64(0.30833333333333335)],[1],[0],[0],[1.9518479999969713],['Target'],139510,001,2025-09-18_10h27.21.576,Visual Search,,2025.1.1,59.66259608733397,2025-09-18 10h27.27.195236 +0530,
1,0,1,[np.float64(-0.235)],[np.float64(-0.085)],[1],[0],[0],[1.5336974000092596],['Target'],1,0,1,0,2.008073200006038,,5,1.9944812000030652,2.008073200006038,2.008073200006038,0.015114699985133484,3.5282892000104766,[np.float64(-0.235)],[np.float64(-0.085)],[1],[0],[0],[1.5336974000092596],['Target'],139510,001,2025-09-18_10h27.21.576,Visual Search,,2025.1.1,59.66259608733397,2025-09-18 10h27.27.195236 +0530,
2,0,2,[np.float64(-0.43333333333333335)],[np.float64(-0.09166666666666666)],[1],[0],[0],[1.4887634000042453],['Target'],2,0,2,0,3.558147800009465,,5,3.540654700016603,3.558147800009465,3.558147800009465,0.0121964999998454,5.029563900025096,[np.float64(-0.43333333333333335)],[np.float64(-0.09166666666666666)],[1],[0],[0],[1.4887634000042453],['Target'],139510,001,2025-09-18_10h27.21.576,Visual Search,,2025.1.1,59.66259608733397,2025-09-18 10h27.27.195236 +0530,
3,0,3,[np.float64(-0.46166666666666667)],[np.float64(-0.20833333333333334)],[1],[0],[0],[1.133835699991323],['Target'],3,0,3,0,5.057730000000447,,5,5.04404180002166,5.057730000000447,5.057730000000447,0.01417750000837259,6.177988700015703,[np.float64(-0.46166666666666667)],[np.float64(-0.20833333333333334)],[1],[0],[0],[1.133835699991323],['Target'],139510,001,2025-09-18_10h27.21.576,Visual Search,,2025.1.1,59.66259608733397,2025-09-18 10h27.27.195236 +0530,
4,0,4,[np.float64(0.11)],[np.float64(-0.47)],[1],[0],[0],[1.987101700011408],['Target'],4,0,4,0,6.224756600015098,,10,6.205401800019899,6.224756600015098,6.224756600015098,0.02721410000231117,8.19257220000145,[np.float64(0.11)],[np.float64(-0.47)],[1],[0],[0],[1.987101700011408],['Target'],139510,001,2025-09-18_10h27.21.576,Visual Search,,2025.1.1,59.66259608733397,2025-09-18 10h27.27.195236 +0530,
5,0,5,[np.float64(-0.09666666666666666)],[np.float64(-0.13833333333333334)],[1],[0],[0],[1.7241574999934528],['Target'],5,0,5,0,8.20809480000753,,5,8.201361000014003,8.20809480000753,8.20809480000753,0.008652799995616078,9.925564900011523,[np.float64(-0.09666666666666666)],[np.float64(-0.13833333333333334)],[1],[0],[0],[1.7241574999934528],['Target'],139510,001,2025-09-18_10h27.21.576,Visual Search,,2025.1.1,59.66259608733397,2025-09-18 10h27.27.195236 +0530,
6,0,6,[np.float64(0.15)],[np.float64(-0.03166666666666667)],[1],[0],[0],[1.7740817000158131],['Target'],6,0,6,0,9.957840200018836,,5,9.937095000001136,9.957840200018836,9.957840200018836,0.011456499982159585,11.711301100003766,[np.float64(0.15)],[np.float64(-0.03166666666666667)],[1],[0],[0],[1.7740817000158131],['Target'],139510,001,2025-09-18_10h27.21.576,Visual Search,,2025.1.1,59.66259608733397,2025-09-18 10h27.27.195236 +0530,
7,0,7,[np.float64(0.11333333333333333)],[np.float64(-0.008333333333333333)],[1],[0],[0],[1.08813730001566],['Target'],7,0,7,0,11.740839500009315,,5,11.72219880000921,11.740839500009315,11.740839500009315,0.010737600008724257,12.810416699998314,[np.float64(0.11333333333333333)],[np.float64(-0.008333333333333333)],[1],[0],[0],[1.08813730001566],['Target'],139510,001,2025-09-18_10h27.21.576,Visual Search,,2025.1.1,59.66259608733397,2025-09-18 10h27.27.195236 +0530,
8,0,8,[np.float64(0.46166666666666667)],[np.float64(-0.455)],[1],[0],[0],[1.6296178000047803],['Target'],8,0,8,0,12.840821600024356,,10,12.829489499999909,12.840821600024356,12.840821600024356,0.018935200001578778,14.459183300001314,[np.float64(0.46166666666666667)],[np.float64(-0.455)],[1],[0],[0],[1.6296178000047803],['Target'],139510,001,2025-09-18_10h27.21.576,Visual Search,,2025.1.1,59.66259608733397,2025-09-18 10h27.27.195236 +0530,
9,0,9,[np.float64(-0.445)],[np.float64(-0.295)],[1],[0],[0],[1.7854626000043936],['Target'],9,0,9,0,14.490477400016971,,10,14.475920299999416,14.490477400016971,14.490477400016971,0.016578199982177466,16.261482600006275,[np.float64(-0.445)],[np.float64(-0.295)],[1],[0],[0],[1.7854626000043936],['Target'],139510,001,2025-09-18_10h27.21.576,Visual Search,,2025.1.1,59.66259608733397,2025-09-18 10h27.27.195236 +0530,
