7.4098 	EXP 	text: foreColor = <psychopy.colors.Color: red, alpha=1.0>
7.4098 	EXP 	text: height = np.float64(0.05)
7.4098 	EXP 	text: height = np.float64(0.05)
7.4098 	EXP 	text: height = np.float64(0.05)
7.4098 	EXP 	text: text = 'RED'
7.4098 	EXP 	fixation: autoDraw = True
7.4770 	EXP 	Device response: <KeyPress from None: t=7.3783565000630915, value=r, duration=0.09504810022190213>
7.9099 	INFO 	Keyboard events cleared
7.9097 	EXP 	fixation: autoDraw = False
7.9097 	EXP 	text: autoDraw = True
8.3931 	EXP 	text: autoDraw = False
8.4443 	EXP 	Device response: <KeyPress from None: t=8.43744229990989, value=r, duration=None>
8.4448 	EXP 	New trial (rep=1, index=0): <Trial 4 (0 in rep 1) data={'word': 'RED', 'font_colour': 'blue', 'con_lable': 'incongruent', 'corr_resp': 'b', 'thisN': 4, 'thisTrialN': 0, 'thisRepN': 1}>
8.4472 	DATA 	Keypress: r
8.4593 	EXP 	fixation: autoDraw = False
8.4593 	EXP 	text: autoDraw = False
8.4593 	EXP 	text: foreColor = <psychopy.colors.Color: blue, alpha=1.0>
8.4593 	EXP 	text: text = 'RED'
8.4593 	EXP 	fixation: autoDraw = True
8.5773 	EXP 	Device response: <KeyPress from None: t=8.43744229990989, value=r, duration=0.13042180007323623>
8.9601 	INFO 	Keyboard events cleared
8.9599 	EXP 	fixation: autoDraw = False
8.9599 	EXP 	text: autoDraw = True
9.4600 	EXP 	text: autoDraw = False
9.7438 	EXP 	Device response: <KeyPress from None: t=9.72907860018313, value=b, duration=None>
9.7443 	EXP 	New trial (rep=1, index=1): <Trial 5 (1 in rep 1) data={'word': 'BLUE', 'font_colour': 'blue', 'con_lable': 'congruent', 'corr_resp': 'b', 'thisN': 5, 'thisTrialN': 1, 'thisRepN': 1}>
9.7510 	DATA 	Keypress: b
9.7593 	EXP 	fixation: autoDraw = False
9.7593 	EXP 	text: autoDraw = False
9.7593 	EXP 	text: foreColor = <psychopy.colors.Color: blue, alpha=1.0>
9.7593 	EXP 	text: height = np.float64(0.05)
9.7593 	EXP 	text: height = np.float64(0.05)
9.7593 	EXP 	text: height = np.float64(0.05)
9.7593 	EXP 	text: text = 'BLUE'
9.7593 	EXP 	fixation: autoDraw = True
9.8439 	EXP 	Device response: <KeyPress from None: t=9.72907860018313, value=b, duration=0.10747750010341406>
10.2435 	INFO 	Keyboard events cleared
10.2433 	EXP 	fixation: autoDraw = False
10.2433 	EXP 	text: autoDraw = True
10.7429 	EXP 	text: autoDraw = False
10.9106 	EXP 	Device response: <KeyPress from None: t=10.895372900180519, value=b, duration=None>
10.9112 	EXP 	New trial (rep=1, index=2): <Trial 6 (2 in rep 1) data={'word': 'RED', 'font_colour': 'red', 'con_lable': 'congruent', 'corr_resp': 'r', 'thisN': 6, 'thisTrialN': 2, 'thisRepN': 1}>
10.9160 	DATA 	Keypress: b
10.9257 	EXP 	fixation: autoDraw = False
10.9257 	EXP 	text: autoDraw = False
10.9257 	EXP 	text: foreColor = <psychopy.colors.Color: red, alpha=1.0>
10.9257 	EXP 	text: height = np.float64(0.05)
10.9257 	EXP 	text: height = np.float64(0.05)
10.9257 	EXP 	text: height = np.float64(0.05)
10.9257 	EXP 	text: text = 'RED'
10.9257 	EXP 	fixation: autoDraw = True
11.0103 	EXP 	Device response: <KeyPress from None: t=10.895372900180519, value=b, duration=0.10480460012331605>
11.4264 	INFO 	Keyboard events cleared
11.4262 	EXP 	fixation: autoDraw = False
11.4262 	EXP 	text: autoDraw = True
11.8768 	EXP 	Device response: <KeyPress from None: t=11.871587899979204, value=r, duration=None>
11.8772 	EXP 	New trial (rep=1, index=3): <Trial 7 (3 in rep 1) data={'word': 'BLUE', 'font_colour': 'red', 'con_lable': 'incongruent', 'corr_resp': 'r', 'thisN': 7, 'thisTrialN': 3, 'thisRepN': 1}>
11.8823 	DATA 	Keypress: r
11.8925 	EXP 	fixation: autoDraw = False
11.8925 	EXP 	text: autoDraw = False
11.8925 	EXP 	text: foreColor = <psychopy.colors.Color: red, alpha=1.0>
11.8925 	EXP 	text: height = np.float64(0.05)
11.8925 	EXP 	text: height = np.float64(0.05)
11.8925 	EXP 	text: height = np.float64(0.05)
11.8925 	EXP 	text: text = 'BLUE'
11.8925 	EXP 	fixation: autoDraw = True
12.0101 	EXP 	Device response: <KeyPress from None: t=11.871587899979204, value=r, duration=0.12318800017237663>
12.3935 	INFO 	Keyboard events cleared
12.3933 	EXP 	fixation: autoDraw = False
12.3933 	EXP 	text: autoDraw = True
12.7627 	DATA 	Keypress: r
12.7769 	EXP 	Device response: <KeyPress from None: t=12.761946100275964, value=r, duration=None>
12.7773 	EXP 	New trial (rep=2, index=0): <Trial 8 (0 in rep 2) data={'word': 'RED', 'font_colour': 'red', 'con_lable': 'congruent', 'corr_resp': 'r', 'thisN': 8, 'thisTrialN': 0, 'thisRepN': 2}>
12.7934 	EXP 	fixation: autoDraw = False
12.7934 	EXP 	text: autoDraw = False
12.7934 	EXP 	text: foreColor = <psychopy.colors.Color: red, alpha=1.0>
12.7934 	EXP 	text: height = np.float64(0.05)
12.7934 	EXP 	text: height = np.float64(0.05)
12.7934 	EXP 	text: height = np.float64(0.05)
12.7934 	EXP 	text: text = 'RED'
12.7934 	EXP 	fixation: autoDraw = True
12.9100 	EXP 	Device response: <KeyPress from None: t=12.761946100275964, value=r, duration=0.13312549982219934>
13.2765 	INFO 	Keyboard events cleared
13.2763 	EXP 	fixation: autoDraw = False
13.2763 	EXP 	text: autoDraw = True
13.6276 	EXP 	Device response: <KeyPress from None: t=13.623919600155205, value=r, duration=None>
13.6281 	EXP 	New trial (rep=2, index=1): <Trial 9 (1 in rep 2) data={'word': 'RED', 'font_colour': 'blue', 'con_lable': 'incongruent', 'corr_resp': 'b', 'thisN': 9, 'thisTrialN': 1, 'thisRepN': 2}>
13.6305 	DATA 	Keypress: r
13.6426 	EXP 	fixation: autoDraw = False
13.6426 	EXP 	text: autoDraw = False
13.6426 	EXP 	text: foreColor = <psychopy.colors.Color: blue, alpha=1.0>
13.6426 	EXP 	text: text = 'RED'
13.6426 	EXP 	fixation: autoDraw = True
13.7444 	EXP 	Device response: <KeyPress from None: t=13.623919600155205, value=r, duration=0.12008289992809296>
14.1433 	INFO 	Keyboard events cleared
14.1431 	EXP 	fixation: autoDraw = False
14.1431 	EXP 	text: autoDraw = True
14.5940 	EXP 	Device response: <KeyPress from None: t=14.590484300162643, value=b, duration=None>
14.5945 	EXP 	New trial (rep=2, index=2): <Trial 10 (2 in rep 2) data={'word': 'BLUE', 'font_colour': 'blue', 'con_lable': 'congruent', 'corr_resp': 'b', 'thisN': 10, 'thisTrialN': 2, 'thisRepN': 2}>
14.5999 	DATA 	Keypress: b
14.6091 	EXP 	fixation: autoDraw = False
14.6091 	EXP 	text: autoDraw = False
14.6091 	EXP 	text: foreColor = <psychopy.colors.Color: blue, alpha=1.0>
14.6091 	EXP 	text: height = np.float64(0.05)
14.6091 	EXP 	text: height = np.float64(0.05)
14.6091 	EXP 	text: height = np.float64(0.05)
14.6091 	EXP 	text: text = 'BLUE'
14.6091 	EXP 	fixation: autoDraw = True
14.6942 	EXP 	Device response: <KeyPress from None: t=14.590484300162643, value=b, duration=0.0999210998415947>
15.1095 	INFO 	Keyboard events cleared
15.1093 	EXP 	fixation: autoDraw = False
15.1093 	EXP 	text: autoDraw = True
15.4762 	EXP 	Device response: <KeyPress from None: t=15.46195870032534, value=b, duration=None>
15.4764 	EXP 	New trial (rep=2, index=3): <Trial 11 (3 in rep 2) data={'word': 'BLUE', 'font_colour': 'red', 'con_lable': 'incongruent', 'corr_resp': 'r', 'thisN': 11, 'thisTrialN': 3, 'thisRepN': 2}>
15.4776 	DATA 	Keypress: b
15.4924 	EXP 	fixation: autoDraw = False
15.4924 	EXP 	text: autoDraw = False
15.4924 	EXP 	text: foreColor = <psychopy.colors.Color: red, alpha=1.0>
15.4924 	EXP 	text: text = 'BLUE'
15.4924 	EXP 	fixation: autoDraw = True
15.5766 	EXP 	Device response: <KeyPress from None: t=15.46195870032534, value=b, duration=0.10374349961057305>
15.9766 	INFO 	Keyboard events cleared
15.9764 	EXP 	fixation: autoDraw = False
15.9764 	EXP 	text: autoDraw = True
16.4267 	EXP 	Device response: <KeyPress from None: t=16.42241010023281, value=r, duration=None>
16.4273 	EXP 	New trial (rep=3, index=0): <Trial 12 (0 in rep 3) data={'word': 'RED', 'font_colour': 'blue', 'con_lable': 'incongruent', 'corr_resp': 'b', 'thisN': 12, 'thisTrialN': 0, 'thisRepN': 3}>
16.4321 	DATA 	Keypress: r
16.4425 	EXP 	fixation: autoDraw = False
16.4425 	EXP 	text: autoDraw = False
16.4425 	EXP 	text: foreColor = <psychopy.colors.Color: blue, alpha=1.0>
16.4425 	EXP 	text: height = np.float64(0.05)
16.4425 	EXP 	text: height = np.float64(0.05)
16.4425 	EXP 	text: height = np.float64(0.05)
16.4425 	EXP 	text: text = 'RED'
16.4425 	EXP 	fixation: autoDraw = True
16.5432 	EXP 	Device response: <KeyPress from None: t=16.42241010023281, value=r, duration=0.11151660000905395>
16.9434 	INFO 	Keyboard events cleared
16.9432 	EXP 	fixation: autoDraw = False
16.9432 	EXP 	text: autoDraw = True
17.2770 	EXP 	Device response: <KeyPress from None: t=17.265685299877077, value=b, duration=None>
17.2776 	EXP 	New trial (rep=3, index=1): <Trial 13 (1 in rep 3) data={'word': 'BLUE', 'font_colour': 'blue', 'con_lable': 'congruent', 'corr_resp': 'b', 'thisN': 13, 'thisTrialN': 1, 'thisRepN': 3}>
17.2829 	DATA 	Keypress: b
17.2924 	EXP 	fixation: autoDraw = False
17.2924 	EXP 	text: autoDraw = False
17.2924 	EXP 	text: foreColor = <psychopy.colors.Color: blue, alpha=1.0>
17.2924 	EXP 	text: height = np.float64(0.05)
17.2924 	EXP 	text: height = np.float64(0.05)
17.2924 	EXP 	text: height = np.float64(0.05)
17.2924 	EXP 	text: text = 'BLUE'
17.2924 	EXP 	fixation: autoDraw = True
17.3770 	EXP 	Device response: <KeyPress from None: t=17.265685299877077, value=b, duration=0.09946850035339594>
17.7930 	INFO 	Keyboard events cleared
17.7928 	EXP 	fixation: autoDraw = False
17.7928 	EXP 	text: autoDraw = True
18.1935 	EXP 	Device response: <KeyPress from None: t=18.180608000140637, value=b, duration=None>
18.1938 	EXP 	New trial (rep=3, index=2): <Trial 14 (2 in rep 3) data={'word': 'RED', 'font_colour': 'red', 'con_lable': 'congruent', 'corr_resp': 'r', 'thisN': 14, 'thisTrialN': 2, 'thisRepN': 3}>
18.1978 	DATA 	Keypress: b
18.2089 	EXP 	fixation: autoDraw = False
18.2089 	EXP 	text: autoDraw = False
18.2089 	EXP 	text: foreColor = <psychopy.colors.Color: red, alpha=1.0>
18.2089 	EXP 	text: height = np.float64(0.05)
18.2089 	EXP 	text: height = np.float64(0.05)
18.2089 	EXP 	text: height = np.float64(0.05)
18.2089 	EXP 	text: text = 'RED'
18.2089 	EXP 	fixation: autoDraw = True
18.2939 	EXP 	Device response: <KeyPress from None: t=18.180608000140637, value=b, duration=0.11170649994164705>
18.6933 	INFO 	Keyboard events cleared
18.6930 	EXP 	fixation: autoDraw = False
18.6930 	EXP 	text: autoDraw = True
19.0096 	EXP 	Device response: <KeyPress from None: t=19.008107000030577, value=r, duration=None>
19.0098 	EXP 	New trial (rep=3, index=3): <Trial 15 (3 in rep 3) data={'word': 'BLUE', 'font_colour': 'red', 'con_lable': 'incongruent', 'corr_resp': 'r', 'thisN': 15, 'thisTrialN': 3, 'thisRepN': 3}>
19.0134 	DATA 	Keypress: r
19.0258 	EXP 	fixation: autoDraw = False
19.0258 	EXP 	text: autoDraw = False
19.0258 	EXP 	text: foreColor = <psychopy.colors.Color: red, alpha=1.0>
19.0258 	EXP 	text: height = np.float64(0.05)
19.0258 	EXP 	text: height = np.float64(0.05)
19.0258 	EXP 	text: height = np.float64(0.05)
19.0258 	EXP 	text: text = 'BLUE'
19.0258 	EXP 	fixation: autoDraw = True
19.1268 	EXP 	Device response: <KeyPress from None: t=19.008107000030577, value=r, duration=0.10431230021640658>
19.5097 	INFO 	Keyboard events cleared
19.5095 	EXP 	fixation: autoDraw = False
19.5095 	EXP 	text: autoDraw = True
19.9768 	EXP 	Device response: <KeyPress from None: t=19.964746000245214, value=r, duration=None>
19.9772 	EXP 	New trial (rep=4, index=0): <Trial 16 (0 in rep 4) data={'word': 'BLUE', 'font_colour': 'red', 'con_lable': 'incongruent', 'corr_resp': 'r', 'thisN': 16, 'thisTrialN': 0, 'thisRepN': 4}>
19.9790 	DATA 	Keypress: r
19.9924 	EXP 	fixation: autoDraw = False
19.9924 	EXP 	text: autoDraw = False
19.9924 	EXP 	text: foreColor = <psychopy.colors.Color: red, alpha=1.0>
19.9924 	EXP 	text: text = 'BLUE'
19.9924 	EXP 	fixation: autoDraw = True
20.0433 	EXP 	Device response: <KeyPress from None: t=19.964746000245214, value=r, duration=0.07424360001459718>
20.4933 	INFO 	Keyboard events cleared
