thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,num_distr,trial.started,Fixation.started,Target.started,mouse.started,trial.stopped,trials.mouse.x,trials.mouse.y,trials.mouse.leftButton,trials.mouse.midButton,trials.mouse.rightButton,trials.mouse.time,trials.mouse.clicked_name,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
0,0,0,[np.float64(0.01)],[np.float64(0.011666666666666667)],[1],[0],[0],[3.1540668999950867],[None],0,0,0,0,0.04133410000940785,,5,0.02497850000509061,0.04133410000940785,0.04133410000940785,0.025054300000192598,3.17920640000375,[np.float64(0.01)],[np.float64(0.011666666666666667)],[1],[0],[0],[3.1540668999950867],[None],003,001,2025-09-18_11h04.08.054,Visual Search,,2025.1.1,59.89666626548843,2025-09-18 11h04.22.853110 +0530,
1,0,1,[np.float64(-0.3983333333333333)],[np.float64(0.25833333333333336)],[1],[0],[0],[2.1367426000069827],['Target'],1,0,1,0,3.208247400005348,,5,3.194829399988521,3.208247400005348,3.208247400005348,0.015349699999205768,5.331685299985111,[np.float64(-0.3983333333333333)],[np.float64(0.25833333333333336)],[1],[0],[0],[2.1367426000069827],['Target'],003,001,2025-09-18_11h04.08.054,Visual Search,,2025.1.1,59.89666626548843,2025-09-18 11h04.22.853110 +0530,
2,0,2,[np.float64(-0.08333333333333333)],[np.float64(0.445)],[1],[0],[0],[1.64712559999316],['Target'],2,0,2,0,5.35826849998557,,5,5.348464599985164,5.35826849998557,5.35826849998557,0.016583899996476248,6.995712900010403,[np.float64(-0.08333333333333333)],[np.float64(0.445)],[1],[0],[0],[1.64712559999316],['Target'],003,001,2025-09-18_11h04.08.054,Visual Search,,2025.1.1,59.89666626548843,2025-09-18 11h04.22.853110 +0530,
3,0,3,[np.float64(0.3283333333333333)],[np.float64(0.3016666666666667)],[1],[0],[0],[2.599727900000289],['Target'],3,0,3,0,7.025335399986943,,5,7.011843599990243,7.025335399986943,7.025335399986943,0.0159599999897182,9.611663599993335,[np.float64(0.3283333333333333)],[np.float64(0.3016666666666667)],[1],[0],[0],[2.599727900000289],['Target'],003,001,2025-09-18_11h04.08.054,Visual Search,,2025.1.1,59.89666626548843,2025-09-18 11h04.22.853110 +0530,
4,0,4,[np.float64(0.07666666666666666)],[np.float64(0.08333333333333333)],[1],[0],[0],[1.7431487999856472],['Target'],4,0,4,0,9.658247999992454,,10,9.634811399999307,9.658247999992454,9.658247999992454,0.022977500018896535,11.378065199998673,[np.float64(0.07666666666666666)],[np.float64(0.08333333333333333)],[1],[0],[0],[1.7431487999856472],['Target'],003,001,2025-09-18_11h04.08.054,Visual Search,,2025.1.1,59.89666626548843,2025-09-18 11h04.22.853110 +0530,
5,0,5,[np.float64(0.30333333333333334)],[np.float64(0.051666666666666666)],[1],[0],[0],[1.1532914999988861],[None],5,0,5,0,11.409030400012853,,5,11.392059500009054,11.409030400012853,11.409030400012853,0.013762799993855879,12.545466499985196,[np.float64(0.30333333333333334)],[np.float64(0.051666666666666666)],[1],[0],[0],[1.1532914999988861],[None],003,001,2025-09-18_11h04.08.054,Visual Search,,2025.1.1,59.89666626548843,2025-09-18 11h04.22.853110 +0530,
6,0,6,[np.float64(0.2683333333333333)],[np.float64(-0.28833333333333333)],[1],[0],[0],[1.6161407000035979],['Target'],6,0,6,0,12.575356199988164,,5,12.56184249999933,12.575356199988164,12.575356199988164,0.016199100005906075,14.178075500007253,[np.float64(0.2683333333333333)],[np.float64(-0.28833333333333333)],[1],[0],[0],[1.6161407000035979],['Target'],003,001,2025-09-18_11h04.08.054,Visual Search,,2025.1.1,59.89666626548843,2025-09-18 11h04.22.853110 +0530,
7,0,7,[np.float64(0.38166666666666665)],[np.float64(-0.42333333333333334)],[1],[0],[0],[1.2927099000080489],['Target'],7,0,7,0,14.207813799992437,,10,14.20023330001277,14.207813799992437,14.207813799992437,0.021999499993398786,15.492995700013125,[np.float64(0.38166666666666665)],[np.float64(-0.42333333333333334)],[1],[0],[0],[1.2927099000080489],['Target'],003,001,2025-09-18_11h04.08.054,Visual Search,,2025.1.1,59.89666626548843,2025-09-18 11h04.22.853110 +0530,
8,0,8,[np.float64(-0.45)],[np.float64(0.30833333333333335)],[1],[0],[0],[1.8828474000038113],['Target'],8,0,8,0,15.541391200007638,,10,15.515310499991756,15.541391200007638,15.541391200007638,0.02219309998326935,17.39826849999372,[np.float64(-0.45)],[np.float64(0.30833333333333335)],[1],[0],[0],[1.8828474000038113],['Target'],003,001,2025-09-18_11h04.08.054,Visual Search,,2025.1.1,59.89666626548843,2025-09-18 11h04.22.853110 +0530,
9,0,9,[np.float64(-0.49333333333333335)],[np.float64(-0.30666666666666664)],[1],[0],[0],[1.9980300000170246],['Target'],9,0,9,0,17.425163400010206,,5,17.412209000001894,17.425163400010206,17.425163400010206,0.013715600012801588,19.41033059998881,[np.float64(-0.49333333333333335)],[np.float64(-0.30666666666666664)],[1],[0],[0],[1.9980300000170246],['Target'],003,001,2025-09-18_11h04.08.054,Visual Search,,2025.1.1,59.89666626548843,2025-09-18 11h04.22.853110 +0530,
10,0,10,[np.float64(-0.30333333333333334)],[np.float64(-0.3416666666666667)],[1],[0],[0],[1.7551990999781992],[None],10,0,10,0,19.442133700009435,,5,19.42210610001348,19.442133700009435,19.442133700009435,0.011598900018725544,21.177403300011065,[np.float64(-0.30333333333333334)],[np.float64(-0.3416666666666667)],[1],[0],[0],[1.7551990999781992],[None],003,001,2025-09-18_11h04.08.054,Visual Search,,2025.1.1,59.89666626548843,2025-09-18 11h04.22.853110 +0530,
11,0,11,[np.float64(0.12666666666666668)],[np.float64(-0.3616666666666667)],[1],[0],[0],[2.978276400011964],[None],11,0,11,0,21.20784290001029,,10,21.19878529998823,21.20784290001029,21.20784290001029,0.021221799979684874,24.177159599988954,[np.float64(0.12666666666666668)],[np.float64(-0.3616666666666667)],[1],[0],[0],[2.978276400011964],[None],003,001,2025-09-18_11h04.08.054,Visual Search,,2025.1.1,59.89666626548843,2025-09-18 11h04.22.853110 +0530,
12,0,12,[np.float64(-0.26166666666666666)],[np.float64(0.44166666666666665)],[1],[0],[0],[1.7064687999954913],['Target'],12,0,12,0,24.208481500012567,,5,24.18839150000713,24.208481500012567,24.208481500012567,0.011012999981176108,25.89493670000229,[np.float64(-0.26166666666666666)],[np.float64(0.44166666666666665)],[1],[0],[0],[1.7064687999954913],['Target'],003,001,2025-09-18_11h04.08.054,Visual Search,,2025.1.1,59.89666626548843,2025-09-18 11h04.22.853110 +0530,
13,0,13,[np.float64(-0.3)],[np.float64(0.09)],[1],[0],[0],[1.5553359999903478],['Target'],13,0,13,0,25.92469029998756,,5,25.904932300007204,25.92469029998756,25.92469029998756,0.009853299998212606,27.460340999998152,[np.float64(-0.3)],[np.float64(0.09)],[1],[0],[0],[1.5553359999903478],['Target'],003,001,2025-09-18_11h04.08.054,Visual Search,,2025.1.1,59.89666626548843,2025-09-18 11h04.22.853110 +0530,
14,0,14,[np.float64(-0.085)],[np.float64(0.3616666666666667)],[1],[0],[0],[1.0501012000022456],['Target'],14,0,14,0,27.491115999990143,,10,27.478454500000225,27.491115999990143,27.491115999990143,0.01798659999622032,28.52866109999013,[np.float64(-0.085)],[np.float64(0.3616666666666667)],[1],[0],[0],[1.0501012000022456],['Target'],003,001,2025-09-18_11h04.08.054,Visual Search,,2025.1.1,59.89666626548843,2025-09-18 11h04.22.853110 +0530,
